OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_6452	Bacteria	candidate_division_WPS-1	Unassigned	Unassigned	Unassigned	WPS-1_genera_incertae_sedis	Unassigned
ASV_6454	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6453	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unassigned	Unassigned	Gp4	Unassigned
ASV_6443	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6460	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	Unassigned
ASV_6456	Bacteria	Acidobacteria	Acidobacteria_Gp16	Unassigned	Unassigned	Gp16	Unassigned
ASV_6455	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Ferruginibacter	Ferruginibacter_lapsinanis
ASV_6457	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned
ASV_6458	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	Unassigned
ASV_6461	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Unassigned
ASV_6462	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	Unassigned
ASV_6464	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6451	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinocatenispora	Unassigned
ASV_6469	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6459	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6467	Bacteria	Acidobacteria	Acidobacteria_Gp25	Unassigned	Unassigned	Gp25	Unassigned
ASV_6463	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6470	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned
ASV_6465	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6475	Bacteria	BRC1	Unassigned	Unassigned	Unassigned	BRC1_genera_incertae_sedis	Unassigned
ASV_6471	Bacteria	candidate_division_WPS-1	Unassigned	Unassigned	Unassigned	WPS-1_genera_incertae_sedis	Unassigned
ASV_6472	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	Unassigned
ASV_6474	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	Unassigned
ASV_6482	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6466	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	Unassigned
ASV_6477	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_6473	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6484	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6479	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Unassigned	Unassigned
ASV_6478	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	Unassigned
ASV_6483	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	Unassigned
ASV_6476	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas_aurantiaca
ASV_6481	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
